"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW200219_094415",37.5,10.1,-6.9,27.9,7.4,-8.4,10.7,3400,1700,-1500,-0.08,0.23,-0.29,65,27.6,5.6,-3.8,0.57,0.22,-0.22,62.2,2020-02-19 09:44:33,2
"GW200216_220804",51,22,-13,30,14,-16,8.1,3800,3000,-2000,0.1,0.34,-0.36,81,32.9,9.3,-8.5,0.63,0.37,-0.29,78,2020-02-16 22:08:22,2
"GW200210_092254",24.1,7.5,-4.6,2.83,0.47,-0.42,8.4,940,430,-340,0.02,0.22,-0.21,27,6.56,0.38,-0.4,0.19,0.08,-0.06,26.7,2020-02-10 09:23:12,2
"GW200209_085452",35.6,10.5,-6.8,27.1,7.8,-7.8,9.6,3400,1900,-1800,-0.12,0.24,-0.3,62.6,26.7,6,-4.2,0.57,0.25,-0.26,59.9,2020-02-09 08:55:10,2
"GW200208_222617",51,104,-30,12.3,9,-5.7,7.4,4100,4400,-1900,0.45,0.43,-0.44,63,19.6,10.7,-5.1,0.66,0.54,-0.28,61,2020-02-08 22:26:35,2
"GW200208_130117",37.8,9.2,-6.2,27.4,6.1,-7.4,10.8,2230,1000,-850,-0.07,0.22,-0.27,65.4,27.7,3.6,-3.1,0.4,0.15,-0.14,62.5,2020-02-08 13:01:35,2
"GW200202_154313",10.1,3.5,-1.4,7.3,1.1,-1.7,10.8,410,150,-160,0.04,0.13,-0.06,17.58,7.49,0.24,-0.2,0.09,0.03,-0.03,16.76,2020-02-02 15:43:31,2
"GW200129_065458",34.5,9.9,-3.2,28.9,3.4,-9.3,26.8,900,290,-380,0.11,0.11,-0.16,63.4,27.2,2.1,-2.3,0.18,0.05,-0.07,60.3,2020-01-29 06:55:16,1
"GW200128_022011",42.2,11.6,-8.1,32.6,9.5,-9.2,10.6,3400,2100,-1800,0.12,0.24,-0.25,75,32,7.5,-5.5,0.56,0.28,-0.28,71,2020-01-28 02:20:29,1
"GW200115_042309",5.9,2,-2.5,1.44,0.85,-0.29,11.3,290,150,-100,-0.15,0.24,-0.42,7.4,2.43,0.05,-0.07,0.06,0.03,-0.02,7.2,2020-01-15 04:23:27,1
"GW200112_155838",35.6,6.7,-4.5,28.3,4.4,-5.9,19.8,1250,430,-460,0.06,0.15,-0.15,63.9,27.4,2.6,-2.1,0.24,0.07,-0.08,60.8,2020-01-12 15:58:56,1
"GW191230_180458",49.4,14,-9.6,37,11,-12,10.4,4300,2100,-1900,-0.05,0.26,-0.31,86,36.5,8.2,-5.6,0.69,0.26,-0.27,82,2019-12-30 18:05:16,12
"GW191222_033537",45.1,10.9,-8,34.7,9.3,-10.5,12.5,3000,1700,-1700,-0.04,0.2,-0.25,79,33.8,7.1,-5,0.51,0.23,-0.26,75.5,2019-12-22 03:35:55,12
