name,version,release,gps,mass_1,mass_1_upper,mass_1_lower,mass_2,mass_2_upper,mass_2_lower,network_snr,network_snr_upper,network_snr_lower,distance,distance_upper,distance_lower,chi_eff,chi_eff_upper,chi_eff_lower,total_mass,total_mass_upper,total_mass_lower,chirp_mass,chirp_mass_upper,chirp_mass_lower,detector_frame_chirp_mass,detector_frame_chirp_mass_upper,detector_frame_chirp_mass_lower,redshift,redshift_upper,redshift_lower,false_alarm_rate,p_astro,final_mass,final_mass_upper,final_mass_lower
GW190731_140936,v2,GWTC-2.1-confident,1248617394.6,41.8,+12.7,-9.1,29.0,+10.2,-9.9,8.8,+0.3,-0.4,3330,+2350,-1770,0.07,+0.28,-0.25,70.7,+16.3,-11.4,29.7,+7.4,-5.3,,,,0.56,+0.31,-0.26,0.33,0.83,67.4,+15.3,-10.8
GW190728_064510,v2,GWTC-2.1-confident,1248331528.5,12.5,+6.9,-2.3,8.0,+1.7,-2.6,13.1,+0.3,-0.4,880,+260,-380,0.13,+0.19,-0.07,20.7,+4.2,-1.4,8.6,+0.6,-0.3,,,,0.18,+0.05,-0.07,≤ 1.0e-05,1.00,19.7,+4.4,-1.4
GW190727_060333,v2,GWTC-2.1-confident,1248242631.9,38.9,+8.9,-6.0,30.2,+6.5,-8.3,11.7,+0.2,-0.5,3070,+1300,-1230,0.09,+0.25,-0.27,68.8,+10.2,-7.8,29.4,+4.6,-3.7,,,,0.52,+0.18,-0.18,≤ 1.0e-05,1.00,65.4,+9.5,-7.3
GW190725_174728,v1,GWTC-2.1-confident,1248112066.4,11.8,+10.1,-3.0,6.3,+2.1,-2.5,9.1,+0.4,-0.7,1030,+520,-430,-0.04,+0.36,-0.16,18.3,+7.4,-1.9,7.4,+0.5,-0.5,,,,0.20,+0.09,-0.08,0.46,0.96,17.6,+7.7,-1.8
GW190720_000836,v2,GWTC-2.1-confident,1247616534.7,14.2,+5.6,-3.3,7.5,+2.2,-1.8,10.9,+0.3,-0.8,770,+650,-260,0.19,+0.14,-0.11,21.8,+3.8,-2.0,9.0,+0.4,-0.8,,,,0.16,+0.11,-0.05,≤ 1.0e-05,1.00,20.8,+3.9,-2.0
GW190719_215514,v2,GWTC-2.1-confident,1247608532.9,36.6,+42.1,-11.1,19.9,+10.0,-9.3,7.9,+0.3,-0.7,3730,+3120,-2070,0.25,+0.33,-0.32,57.2,+38.4,-11.6,22.8,+8.3,-4.3,,,,0.61,+0.39,-0.30,0.63,0.92,54.5,+38.3,-11.1
GW190708_232457,v2,GWTC-2.1-confident,1246663515.3,19.8,+4.3,-4.3,11.6,+3.1,-2.0,13.4,+0.2,-0.3,930,+310,-390,0.05,+0.10,-0.10,31.4,+2.8,-2.2,13.1,+0.9,-0.6,,,,0.19,+0.06,-0.07,0.00031,1.00,30.1,+2.9,-2.1
GW190707_093326,v2,GWTC-2.1-confident,1246527224.1,12.1,+2.6,-2.0,7.9,+1.6,-1.3,13.1,+0.2,-0.4,850,+340,-400,-0.04,+0.10,-0.09,20.1,+1.7,-1.2,8.4,+0.6,-0.4,,,,0.17,+0.06,-0.08,≤ 1.0e-05,1.00,19.2,+1.7,-1.2
GW190706_222641,v2,GWTC-2.1-confident,1246487219.3,74.0,+20.1,-16.9,39.4,+18.4,-15.4,13.4,+0.2,-0.4,3630,+2600,-2000,0.28,+0.25,-0.31,112.6,+27.4,-16.8,45.6,+13.0,-9.1,,,,0.60,+0.33,-0.29,5.0e-05,1.00,107.3,+25.2,-15.9
GW190701_203306,v2,GWTC-2.1-confident,1246048404.5,54.1,+12.6,-8.0,40.5,+8.7,-12.1,11.2,+0.2,-0.4,2090,+770,-740,-0.08,+0.23,-0.31,94.3,+12.0,-9.5,40.2,+5.4,-5.0,,,,0.38,+0.11,-0.12,0.0057,1.00,90.2,+11.2,-8.9
GW190630_185205,v2,GWTC-2.1-confident,1245955943.1,35.1,+6.5,-5.5,24.0,+5.5,-5.2,16.4,+0.2,-0.3,870,+530,-360,0.10,+0.14,-0.13,59.4,+4.7,-4.8,25.1,+2.2,-2.1,,,,0.18,+0.09,-0.07,≤ 1.0e-05,1.00,56.6,+4.4,-4.5
GW190620_030421,v2,GWTC-2.1-confident,1245035079.3,58.0,+19.2,-13.3,35.0,+13.1,-14.5,12.1,+0.3,-0.4,2910,+1710,-1320,0.34,+0.22,-0.29,92.7,+18.5,-13.2,38.1,+8.5,-7.2,,,,0.50,+0.23,-0.20,0.011,0.99,88.0,+17.2,-12.4
GW190602_175927,v2,GWTC-2.1-confident,1243533585.0,71.8,+18.1,-14.6,44.8,+15.5,-19.6,13.2,+0.2,-0.3,2840,+1930,-1280,0.12,+0.25,-0.28,115.6,+19.2,-14.8,48.0,+9.5,-9.7,,,,0.49,+0.26,-0.20,≤ 1.0e-05,1.00,110.5,+17.9,-13.9
GW190531_023648,v1,GWTC-2.1-marginal,1243305426.3,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0.41,,,,
GW190527_092055,v2,GWTC-2.1-confident,1242984073.7,35.6,+18.7,-8.0,22.2,+9.0,-8.7,8.0,+0.4,-0.9,2520,+2080,-1230,0.10,+0.22,-0.22,58.1,+18.1,-8.8,23.9,+6.8,-3.9,,,,0.44,+0.29,-0.19,0.23,0.85,55.5,+17.9,-8.5
